kind,fast,slow,median_sharpe,mean_sharpe,pct_positive
HMA,10,55,0.36166939660016517,0.3379476636447649,1.0
HMA,10,70,0.425528112983634,0.3996453454831293,1.0
HMA,10,100,0.45850662983158025,0.4051865429759894,1.0
HMA,10,150,0.3859261024969871,0.3642789314435711,0.9375
HMA,15,40,0.31634367780238715,0.29908096961029895,0.875
HMA,15,50,0.31865649191358825,0.3111339754546689,1.0
HMA,15,55,0.3513125023805203,0.3379659261095121,1.0
HMA,15,70,0.37988422692283375,0.3652262959312074,1.0
HMA,15,100,0.44205500463947084,0.4080713186695509,1.0
HMA,15,150,0.4401120393069028,0.3886516443820349,0.9375
HMA,20,40,0.30958409734742126,0.3150782721849721,0.9375
HMA,20,50,0.3407290774039639,0.33654288178480285,1.0
HMA,20,55,0.3076682477778604,0.3257305893502296,1.0
HMA,20,70,0.3706898198125135,0.339258554627897,1.0
HMA,20,100,0.4604346589761775,0.4110502558835773,1.0
HMA,20,150,0.4477311697290963,0.3954935668687491,0.9375
HMA,22,40,0.3050023265399816,0.32093870767963273,1.0
HMA,22,50,0.34551500368022364,0.3477414445047877,1.0
HMA,22,55,0.3433581386952047,0.34281562386101494,1.0
HMA,22,70,0.3809548534786442,0.3673801969658389,1.0
HMA,22,100,0.4251737619196534,0.41624884796823114,0.9375
HMA,22,150,0.44670307321966124,0.38453382505479383,0.875
HMA,30,40,0.3637009516948614,0.3629724408589631,1.0
HMA,30,50,0.41559436418013995,0.35791463866609385,1.0
HMA,30,55,0.368071162138037,0.3451275690971519,1.0
HMA,30,70,0.38396836323110695,0.3881380551349668,1.0
HMA,30,100,0.4347837525621513,0.3986937574175209,1.0
HMA,30,150,0.4674799861735581,0.37662953257064813,0.875
HMA,40,50,0.34332244116616406,0.3791008698601993,1.0
HMA,40,55,0.39932214188982085,0.374491851317148,1.0
HMA,40,70,0.3718011423689045,0.3542576555553671,0.9375
HMA,40,100,0.3804002353814723,0.37010710712407313,1.0
HMA,40,150,0.48545329381262825,0.40058484614705775,0.875
HMA,50,55,0.31613120881586226,0.3071435274879237,1.0
HMA,50,70,0.3822500435173329,0.34141746116199234,0.9375
HMA,50,100,0.4305740662173396,0.3609995832853299,0.9375
HMA,50,150,0.4769022822600485,0.4073864254582519,0.9375
KAMA,10,40,0.4746953599246057,0.44387112625111197,0.9375
KAMA,10,50,0.46667885422851807,0.45277835362286567,1.0
KAMA,10,55,0.4679835235860743,0.45055973056540644,0.9375
KAMA,10,70,0.4758943673223141,0.4300759425780946,0.9375
KAMA,10,100,0.42296003892205547,0.41179213751855553,0.875
KAMA,10,150,0.43423336980854077,0.406386458918873,0.875
KAMA,15,40,0.4658566190287502,0.43724003795361116,0.9375
KAMA,15,50,0.47829885170484643,0.4296559092019534,0.875
KAMA,15,55,0.5258773461525175,0.44287091899019193,0.875
