Date,Open,High,Low,Close
1998-12-22,5.683920662442924,5.696742057800293,5.675373413326469,5.696742057800293
1998-12-23,5.735205504406584,5.782215907273052,5.735205504406584,5.7565741539001465
1998-12-24,5.8249495121486845,5.889053344726563,5.799307770444505,5.8890533447265625
1998-12-28,5.880506702607407,5.880506702607407,5.829223213921878,5.837770462036133
1998-12-29,5.944612979888916,5.944612979888916,5.944612979888916,5.944612979888916
1998-12-30,5.940336331679619,5.940336331679619,5.927515983581543,5.927515983581543
1998-12-31,5.978798986713694,6.017261071310895,5.978798986713694,5.995893478393555
1999-01-04,6.000171178347104,6.085643702255183,5.923245906829834,5.923245906829834
1999-01-05,5.978798830525091,6.098460269158109,5.978798830525091,6.068544387817383
1999-01-06,6.107011282734317,6.175389289855957,6.077095382935805,6.175389289855957
1999-01-07,6.1454733698271635,6.397617791940973,6.107011262630648,6.128378868103027
1999-01-08,6.183933376184192,6.3377838134765625,6.183933376184192,6.3377838134765625
1999-01-11,6.34206062049917,6.350607872009277,6.29077711143853,6.350607872009277
1999-01-12,6.295049234378824,6.324964083360704,6.175387751720648,6.188208103179932
1999-01-13,6.004442813090602,6.119830150388728,6.004442813090602,6.051452159881592
1999-01-14,6.068547416007381,6.077094665889081,5.897602418373371,5.948885917663574
1999-01-15,6.017263271948875,6.038631916046143,5.987348422251124,6.038631916046143
1999-01-19,6.017261550363241,6.017261550363241,5.884779750979531,5.927515983581543
1999-01-20,5.927518989855055,5.970255244131712,5.901877237289061,5.9061503410339355
1999-01-21,5.906148737946221,5.9146959864815996,5.850592144148914,5.880506992340088
1999-01-22,5.82067710825093,5.842045754413285,5.75657325649477,5.765120506286621
1999-01-25,5.82495039854278,5.880506992340087,5.803581755521685,5.880506992340088
1999-01-26,5.859142613144875,5.863415718078613,5.795037692211807,5.863415718078613
1999-01-27,5.970251911134702,5.970251911134702,5.816401481628418,5.816401481628418
1999-01-28,5.850591692328505,5.850591692328505,5.74375057220459,5.74375057220459
1999-01-29,5.730930143048718,5.773666381835937,5.730930143048718,5.7736663818359375
1999-02-01,5.820677757263184,5.880508512477343,5.820677757263184,5.820677757263184
1999-02-02,5.799309422864615,5.8463187743676,5.795035276346832,5.824951171875
1999-02-03,5.829224586486816,5.850593233486597,5.812130086233189,5.829224586486816
1999-02-04,5.842043358390733,6.021535530403714,5.842043358390733,6.000166893005371
1999-02-05,6.030084004515614,6.136924083166677,6.030084004515614,6.081367492675781
1999-02-08,6.098462550037914,6.115557047664699,6.025810413441415,6.051452159881592
1999-02-09,6.051449138824341,6.051449138824341,5.936061859130859,5.936061859130859
1999-02-10,5.978801813932257,5.978801813932257,5.923244168018472,5.948885917663574
1999-02-11,5.914695086430743,5.970252715139035,5.889053344726563,5.8890533447265625
1999-02-12,5.897601059529706,5.91469555535443,5.8591389656066895,5.8591389656066895
1999-02-16,5.970254562640985,5.970254562640985,5.803582668304443,5.803582668304443
1999-02-17,5.777939563705808,5.85913894020381,5.74375057220459,5.74375057220459
1999-02-18,5.7565746269836415,5.7950367385210635,5.722385619676733,5.786489486694336
1999-02-19,5.807857203418706,5.842046205224364,5.795035806058818,5.833498954772949
1999-02-22,5.812129809464777,5.948885804981595,5.812129809464777,5.931791305541992
1999-02-23,5.944611878038073,5.948884980623111,5.846317998198575,5.880506992340088
1999-02-24,5.965982756878822,5.965982756878822,5.863415718078613,5.863415718078613
1999-02-25,5.82922670514521,5.863415718078613,5.812132198678508,5.863415718078613
1999-02-26,5.863415718078613,5.863415718078613,5.863415718078613,5.863415718078613
1999-03-01,5.820677590581169,5.824951737513998,5.7950358390808105,5.7950358390808105
1999-03-02,5.8078554529519835,5.863412042458853,5.74375057220459,5.74375057220459
1999-03-03,5.816401658988539,5.816401658988539,5.705287456512451,5.705287456512451
1999-03-04,5.701014855814371,5.777940093748898,5.701014855814371,5.722383499145508
1999-03-05,5.790760695990105,5.9146952629089355,5.790760695990105,5.9146952629089355
1999-03-08,5.863413637167454,5.953160285949708,5.863413637167454,5.953160285949707
1999-03-09,5.9232421379344915,5.9232421379344915,5.880505903173059,5.901874542236328
1999-03-10,5.906147536550249,6.00871449811118,5.893327188037676,5.983072757720947
1999-03-11,6.012988803497011,6.077092634499042,6.000167411277536,6.047177791595459
1999-03-12,6.098463991944593,6.115558493613161,6.021538734436035,6.021538734436035
1999-03-15,6.021538148114018,6.060000251440422,5.991622251424168,6.034358501434326
1999-03-16,6.025810604583827,6.04290510275286,6.004443003555221,6.008716106414795
1999-03-17,6.038631885046661,6.038631885046661,5.983074245371254,5.991621494293213
1999-03-18,6.055727230995314,6.119831085205078,6.021538230519307,6.119831085205078
1999-03-19,6.2090196370881525,6.2090196370881525,6.1275482177734375,6.1275482177734375
1999-03-22,6.1018215020976605,6.166140946812146,6.1018215020976605,6.1447014808654785
1999-03-23,6.114684972114756,6.114684972114756,5.9560295741156395,5.990333557128906
1999-03-24,5.964608660625552,6.037504138864673,5.951744136892163,5.994624137878418
1999-03-25,5.994617943202202,6.071801865217682,5.994617943202202,6.016058444976807
1999-03-26,5.956029105130454,6.011772549700463,5.934588593998174,5.968892574310303
1999-03-29,6.033213773054055,6.097533220295012,6.016061780873198,6.0675177574157715
1999-03-30,6.063229641225453,6.063229641225453,5.994621667915972,6.054653644561768
1999-03-31,6.020348544778495,6.050365050988806,5.960316579232271,5.968892574310303
1999-04-01,5.977467001161792,6.084667434949676,5.977467001161792,6.037498950958252
1999-04-05,6.054650954534081,6.153275395785792,6.054650954534081,6.110395431518555
1999-04-06,6.076090786735586,6.110394754347716,6.003194332122803,6.003194332122803
1999-04-07,6.037501247662009,6.088957224204583,6.02034925548115,6.0675177574157715
1999-04-08,6.058940975558053,6.153276920318604,6.050364980579821,6.1532769203186035
1999-04-09,6.063230893191169,6.161855398625318,6.063230893191169,6.123262882232666
1999-04-12,6.123258890424456,6.3162192528454835,6.123258890424456,6.303354740142822
1999-04-13,6.350521589292468,6.393401542471776,6.316217626749021,6.380537033081055
1999-04-14,6.423419452936222,6.839355681937312,6.380539483290453,6.68927526473999
1999-04-15,6.775034327565887,7.096634581741836,6.775034327565887,6.946554183959961
1999-04-16,6.989435835199042,7.10521228964873,6.963707850529598,7.023739814758301
1999-04-19,7.023741231129534,7.366781095897766,7.023741231129534,7.096637725830078
1999-04-20,7.113789566475911,7.118077041256253,6.985149619947184,7.01087760925293
1999-04-21,7.058044592733069,7.09234857617284,6.976573155500858,7.040892601013184
1999-04-22,7.049469649201573,7.0580456463417205,6.860797712118319,6.929405689239502
1999-04-23,6.895100281878216,7.049468198636684,6.895100281878216,7.032316207885742
1999-04-26,7.066620831419094,7.066620831419094,6.942269410614155,6.963708877563477
1999-04-27,6.946553769318954,7.13522560009058,6.912249800087749,7.100921630859375
1999-04-28,7.135228778244159,7.5125726078628405,7.135228778244159,7.478268623352051
1999-04-29,7.495420290158402,7.628348747803258,7.495420290158402,7.534012794494629
1999-04-30,7.529724440816361,7.581180416493922,7.345341051409021,7.44396448135376
1999-05-03,7.469691374280432,7.641211268064138,7.4439633902128755,7.615483283996582
1999-05-04,7.662649512317973,7.6883774887775616,7.5168576457136345,7.5683135986328125
1999-05-05,7.585469799250399,7.69266923731412,7.499709830049572,7.658365249633789
1999-05-06,7.658364367302021,7.752700322554341,7.598332395777817,7.722684860229492
1999-05-07,7.722688507542626,7.769855984008046,7.61977650775444,7.739840507507324
1999-05-10,7.739837092349847,7.817021058134017,7.671229122763919,7.696957111358643
1999-05-11,7.72268694456352,7.744126416742802,7.598334446549416,7.684094429016113
1999-05-12,7.662652649492118,7.662652649492118,7.42252477089163,7.491132736206055
1999-05-13,7.4396720932940115,7.521143477538536,7.4182315941514645,7.461111545562744
1999-05-14,7.452538321038884,7.542586775857928,7.422522867348671,7.4396748542785645
1999-05-17,7.4396758863172145,7.482555859590298,7.358203413661181,7.431099891662598
1999-05-18,7.401083119820088,7.4053716404297925,7.190971781802327,7.251003742218018
1999-05-19,7.2510066721754685,7.362494643711359,7.22956615421197,7.323902130126953
1999-05-20,7.353918505213373,7.383933973538367,7.229566015903419,7.238142013549805
1999-05-21,7.203837779637414,7.298173750561237,7.186685784923992,7.233854293823242
1999-05-24,7.242426548453035,7.3796424352502585,7.169530085154942,7.203834056854248
1999-05-25,7.2681551517253995,7.3110351200338854,7.1352267265319815,7.135226726531982
1999-05-26,7.01945621326585,7.105216209476337,6.998015690775752,7.066623687744141
1999-05-27,7.019452005096383,7.049467462338276,6.86079558378421,6.903675556182861
1999-05-28,6.8736608854004535,6.929404332459502,6.766460418701172,6.766460418701172
1999-06-01,6.835069469808808,7.109501368220203,6.82220599800808,7.058045387268066
1999-06-02,7.075196504592896,7.075196504592896,6.963708559672038,7.049468517303467
